"","id","created_time","snippet","headline"
"79",9,"2000-06-06T05:00:00+0000","Christian Science board of directors will establish $50 million research library and exhibit space in Boston to house vast collection of papers related to Mary Baker Eddy, faith's founder and one of most influential women in American religious his...","National News Briefs; Christian Scientists Plan a Research Library"
"80",10,"2000-04-05T05:00:00+0000","WHEN I first learned how to make this dish, I was a young assistant sauce chef at Cafe de la Paix in Paris. The head sauce chef, a man named Charles Lejay, was very particular about this preparation, a classic of French cooking called lobster a l'...","Christian Delouvrier"
"81",1,"2000-11-05T05:00:00+0000","Correction of October 22 article about choreographer Christian Holder and his new ballet, set to the music of Cole Porter; Holder is 51, his costume designs for Weren't We Fools? were for black tie and tails; Porter wrote Within the Quota in 1923 ...","Corrections"
"82",2,"2000-11-05T05:00:00+0000","City University Prof Jon-Christian Suggs letter on Ted Gioia's October 22 article note some ironies of Al Jolson's career, including fact that he was responsible for production of Broadway play Appearances, which that broke tradition of hiring whi...","Hidden Ironies"
"83",3,"2000-07-09T05:00:00+0000","Leaders of Episcopal Church and nation's largest Lutheran denomination say their historic alliance, concluded at Episcopalians' 73rd general convention in Denver, begins era of ecumenical outreach that could lead to engagement of other churches in...","Churches Say New Alliance Will Initiate Era of Sharing"
"84",4,"2000-08-27T05:00:00+0000","Outlook for Penn State-USC Kickoff Classic football game (S)","Christians Arrested in China"
"85",5,"2000-04-23T05:00:00+0000","Paul William Roberts reviews book Desire of the Everlasting Hills: The World Before and After Jesus by Thomas Cahill (M)","Christ Without Christians"
"86",6,"2000-05-14T05:00:00+0000","John W Christi","John Christian, 74; Headed B. Altman"
"87",7,"2000-10-29T05:00:00+0000","Correction of October 22 article about choreographer Christian Holder and his new ballet, set to Cole Porter music; he is choreographer Jeffrey Holder's nephew, not his son (S)","Corrections"
"88",8,"2000-05-09T05:00:00+0000","","Paid Notice: Deaths  CHRISTIAN, JOHN W., JR."
"89",9,"2000-04-19T05:00:00+0000","Joseph J Christian, former chairman of New York City Housing Authority, dies at age 84; photo (M)","Joseph Christian, 84, Head of Housing Agency"
"90",10,"2000-12-24T05:00:00+0000","","Jerusalem Christians Support Arab Stance"
"91",1,"2000-04-15T05:00:00+0000","","Paid Notice: Deaths  CHRISTIAN, JOSEPH J."
"92",2,"2000-10-22T05:00:00+0000","Hyman Adelman letter on Medhat Credi's October 15 letter notes there were no Christians living in Jerusalem before or during life of Jesus Christ, who was a Jew (S)","Jerusalem's Significance Predates Birth of Jesus"
"93",3,"2000-03-26T05:00:00+0000","Pope John Paul II attends ecumenical meeting in Jerusalem given by Diodoros I, Greek Orthodox Patriarch of Jerusalem; meeting underlines deep divisions among Christians in Holy Land; schism between Catholicism and Orthodoxy dates back more than 1,...","Remnants of Schism Vivid At Gathering of Christians"
"94",4,"2000-11-11T05:00:00+0000","Recent violence in Israel and West Bank has for now virtually shut down tourism industry, which had been poised to set records throughout Israel, Palestinian territories and Jordan; prospects for 2001 tourism are increasingly grim, throwing into d...","Fighting in Mideast Blocks Wave of Christian Tourism"
"95",5,"2000-02-29T05:00:00+0000","Republican presidential candidate Sen John McCain campaigns in Virginia, stronghold of Christian conservatism, where he harshly assails 'self-appointed leaders' of religious right; depicts them as intolerant empire builders who have turned good ca...","McCAIN DENOUNCES POLITICAL TACTICS OF CHRISTIAN RIGHT"
"96",6,"2000-03-03T05:00:00+0000","Members of Christian right are deeply offended by Sen John McCain's attacks on Pat Robertson and Rev Jerry Falwell, whom he described as 'agents of intolerance' comparable to Louis Farrakhan and Rev Al Sharpton; both leaders and rank and file of r...","Remarks Rally Christian Right Against McCain"
"97",7,"2000-02-26T05:00:00+0000","Pope John Paul II holds first papal Mass ever in Egypt at newly built cathedral in Cairo, where he implores Pope Shenouda III, leader of Egypt's Coptic Church, to renew dialogue with Vatican and end 'painful divisions' within Christianity (M)","Pope Seeks to Heal Divisions With Egyptian Coptic Christians"
"98",8,"2000-10-04T05:00:00+0000","Sophie Koulomzin, leading Orthodox Christian educator whose life encompassed history of 20th-century Russia and experience of Russian emigres, dies at age 96; photo (M)","Sophie Koulomzin Dies at 96; Orthodox Christian Educator"
"99",9,"2000-02-17T05:00:00+0000","Group of Christian leaders, concerned that poverty persists in America despite prolonged period of national prosperity, gathers in Washington, DC, to call for effort by churches, businesses, labor and government to help poor people; Rev Jim Wallis...","Christian Groups Urge a Vast, Coordinated Attack on Poverty"
