"","id","created_time","snippet","headline"
"85",5,"2000-06-28T05:00:00+0000","Italian Jews denounce Vatican decision to beatify Pius IX, who in 1858 abducted six-year-old Edgardo Mortara from his Jewish parents in Bologna and raised him as a Catholic; case became international cause celebre when pope adamantly refused to re...","Italian Jews Denounce Vatican's Decision to Beatify Pius IX"
"86",6,"2000-02-21T05:00:00+0000","Rudolph W Patzert, captain of 1904 gunboat that carried more than 1,380 Jewish refugees from Europe to Palestine as part of secret rescue operation after World War II, dies at age 88; photo (M)","Rudolph Patzert, 88; Transported Jews to Palestine After War"
"87",7,"2000-03-16T05:00:00+0000","Metropolitan Museum of Art cites research rebutting claim by leading Jewish organization that one of museum's renowned paintings by Peter Paul Rubens might have been stolen from its rightful owners by Nazis during World War II (S)","Met Museum Rebuts Jewish Claim to a Rubens"
"88",8,"2000-05-01T05:00:00+0000","Focus on plight of Iran's Jewish minority, which has survived in City of Shiraz for past 2,700 years but currently finds itself squeezed in conflict between hard-line Muslim hierarchy that controls judiciary and reformers backing Pres Mohammad Kha...","Iran's Jewish Minority Caught Up in Turmoil"
"89",9,"2000-09-04T05:00:00+0000","Seventy people from around the world gather for a memorial service where the Bosporus joins the Black Sea, the approximate site where a Russian submarine sank a disabled ship carrying 778 Jews from Romania to Palestine on Feb 23, 1942; Turkey woul...","For Jews Lost in War, Flowers on the Sea"
"90",10,"2000-01-19T05:00:00+0000","Rev Al Sharpton moves to distance himself from Rev Charles Norris, Queens minister and longtime ally who made statements about Jews that drew sharp protest after Martin Luther King's Birthday event that Sharpton sponsored for Hillary Rodham Clinto...","Sharpton Denounces Remarks About Jews by Longtime Ally"
"91",1,"2000-04-14T05:00:00+0000","Iranian judge postpones trial of 13 Jews accused of espionage in case that is seen as test of human rights in Iran and strength of hard-liners who control its judiciary (M)","Iran Postpones Trial of 13 Jews Accused of Spying for Israel"
"92",2,"2000-01-14T05:00:00+0000","Holland Cotter reviews art, books and objects relating to Jewish approaches to illness, death and the afterlife; photo of engraving; show is at Jewish Theological Seminary (S)","'From This World to the Next' -- Jewish Approaches to Illness, Death and the Afterlife'"
"93",3,"2000-08-24T05:00:00+0000","Arts in America column profiles Walter Robinson, composer of musical Moses which uses black music and dance to tell Old Testament story of liberation of Israelites from slavery; Robinson comments; photos (M)","Blacks and Jews Find Harmony in Retelling of Exodus"
"94",4,"2000-11-16T05:00:00+0000","Rabbi Alexander M Schindler, who led Reform movement of American Judaism, dies at age 75; photo (M)","Rabbi Alexander Schindler, Reform Leader and Major Jewish Voice, Dies at 75"
